dataset_name,model_name,accuracy,model,time
r8-all-terms.txt,CNN glove,0.956578376031,"FCholletCNN(dropout_rate=0.5, optimizer=adam, embedding_dim=100, batch_size=32, epochs=20, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",388.026821852
r8-all-terms.txt,CNN glove,0.967433782023,"FCholletCNN(dropout_rate=0.5, optimizer=adam, embedding_dim=100, batch_size=32, epochs=20, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",388.112570047
r8-all-terms.txt,CNN glove,0.960486322188,"FCholletCNN(dropout_rate=0.5, optimizer=adam, embedding_dim=100, batch_size=32, epochs=20, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",388.622493029
r8-all-terms.txt,CNN glove,0.963525835866,"FCholletCNN(dropout_rate=0.5, optimizer=adam, embedding_dim=100, batch_size=32, epochs=20, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",388.539276838
r8-all-terms.txt,CNN glove,0.970039079462,"FCholletCNN(dropout_rate=0.5, optimizer=adam, embedding_dim=100, batch_size=32, epochs=20, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",390.450355053
r8-all-terms.txt,CNN glove,0.968736430743,"FCholletCNN(dropout_rate=0.5, optimizer=adam, embedding_dim=100, batch_size=32, epochs=20, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",388.957787037
r8-all-terms.txt,CNN glove,0.964394268346,"FCholletCNN(dropout_rate=0.5, optimizer=adam, embedding_dim=100, batch_size=32, epochs=20, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",393.89516592
r8-all-terms.txt,CNN glove,0.957012592271,"FCholletCNN(dropout_rate=0.5, optimizer=adam, embedding_dim=100, batch_size=32, epochs=20, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",395.193064928
r8-all-terms.txt,MLP 1x360,0.967433782023,"MLP(layers=1, units=360, dropout_rate=0.87, max_vocab_size=22000, epochs=12, batch_size=128)",26.6379680634
r8-all-terms.txt,MLP 1x360,0.965262700825,"MLP(layers=1, units=360, dropout_rate=0.87, max_vocab_size=22000, epochs=12, batch_size=128)",14.3963890076
r8-all-terms.txt,MLP 1x360,0.966999565784,"MLP(layers=1, units=360, dropout_rate=0.87, max_vocab_size=22000, epochs=12, batch_size=128)",13.8808250427
r8-all-terms.txt,MLP 1x360,0.965262700825,"MLP(layers=1, units=360, dropout_rate=0.87, max_vocab_size=22000, epochs=12, batch_size=128)",13.794039011
r8-all-terms.txt,MLP 1x360,0.961354754668,"MLP(layers=1, units=360, dropout_rate=0.87, max_vocab_size=22000, epochs=12, batch_size=128)",14.21575284
r8-all-terms.txt,MLP 1x360,0.960920538428,"MLP(layers=1, units=360, dropout_rate=0.87, max_vocab_size=22000, epochs=12, batch_size=128)",13.6889400482
r8-all-terms.txt,MLP 1x360,0.967433782023,"MLP(layers=1, units=360, dropout_rate=0.87, max_vocab_size=22000, epochs=12, batch_size=128)",13.7446801662
r8-all-terms.txt,MLP 1x360,0.966999565784,"MLP(layers=1, units=360, dropout_rate=0.87, max_vocab_size=22000, epochs=12, batch_size=128)",14.9842259884
r8-all-terms.txt,MLP 1x360,0.969170646982,"MLP(layers=1, units=360, dropout_rate=0.87, max_vocab_size=22000, epochs=12, batch_size=128)",14.0789089203
r8-all-terms.txt,MLP 1x360,0.969604863222,"MLP(layers=1, units=360, dropout_rate=0.87, max_vocab_size=22000, epochs=12, batch_size=128)",13.9539270401
r8-all-terms.txt,MLP 2x180,0.963525835866,"MLP(layers=2, units=180, dropout_rate=0.6, max_vocab_size=22000, epochs=5, batch_size=128)",18.7796990871
r8-all-terms.txt,MLP 2x180,0.962657403387,"MLP(layers=2, units=180, dropout_rate=0.6, max_vocab_size=22000, epochs=5, batch_size=128)",7.59015488625
r8-all-terms.txt,MLP 2x180,0.959183673469,"MLP(layers=2, units=180, dropout_rate=0.6, max_vocab_size=22000, epochs=5, batch_size=128)",7.11194896698
r8-all-terms.txt,MLP 2x180,0.95831524099,"MLP(layers=2, units=180, dropout_rate=0.6, max_vocab_size=22000, epochs=5, batch_size=128)",7.02119684219
r8-all-terms.txt,MLP 2x180,0.95788102475,"MLP(layers=2, units=180, dropout_rate=0.6, max_vocab_size=22000, epochs=5, batch_size=128)",7.57583594322
r8-all-terms.txt,MLP 2x180,0.959183673469,"MLP(layers=2, units=180, dropout_rate=0.6, max_vocab_size=22000, epochs=5, batch_size=128)",7.34166908264
r8-all-terms.txt,MLP 2x180,0.963091619627,"MLP(layers=2, units=180, dropout_rate=0.6, max_vocab_size=22000, epochs=5, batch_size=128)",7.72097802162
r8-all-terms.txt,MLP 2x180,0.962657403387,"MLP(layers=2, units=180, dropout_rate=0.6, max_vocab_size=22000, epochs=5, batch_size=128)",7.03284597397
r8-all-terms.txt,MLP 2x180,0.961354754668,"MLP(layers=2, units=180, dropout_rate=0.6, max_vocab_size=22000, epochs=5, batch_size=128)",7.6020488739
r8-all-terms.txt,MLP 2x180,0.965696917065,"MLP(layers=2, units=180, dropout_rate=0.6, max_vocab_size=22000, epochs=5, batch_size=128)",7.00566601753
r8-all-terms.txt,MLP 3x512,0.970907511941,"MLP(layers=3, units=512, dropout_rate=0.2, max_vocab_size=10000, epochs=20, batch_size=128)",23.8508639336
r8-all-terms.txt,MLP 3x512,0.969170646982,"MLP(layers=3, units=512, dropout_rate=0.2, max_vocab_size=10000, epochs=20, batch_size=128)",18.3805339336
r8-all-terms.txt,MLP 3x512,0.965696917065,"MLP(layers=3, units=512, dropout_rate=0.2, max_vocab_size=10000, epochs=20, batch_size=128)",17.9706540108
r8-all-terms.txt,MLP 3x512,0.966131133304,"MLP(layers=3, units=512, dropout_rate=0.2, max_vocab_size=10000, epochs=20, batch_size=128)",17.3849999905
r8-all-terms.txt,MLP 3x512,0.960486322188,"MLP(layers=3, units=512, dropout_rate=0.2, max_vocab_size=10000, epochs=20, batch_size=128)",18.3936700821
r8-all-terms.txt,MLP 3x512,0.95788102475,"MLP(layers=3, units=512, dropout_rate=0.2, max_vocab_size=10000, epochs=20, batch_size=128)",17.5010249615
r8-all-terms.txt,MLP 3x512,0.969170646982,"MLP(layers=3, units=512, dropout_rate=0.2, max_vocab_size=10000, epochs=20, batch_size=128)",18.1146659851
r8-all-terms.txt,MLP 3x512,0.960486322188,"MLP(layers=3, units=512, dropout_rate=0.2, max_vocab_size=10000, epochs=20, batch_size=128)",17.8569450378
r8-all-terms.txt,MLP 3x512,0.968302214503,"MLP(layers=3, units=512, dropout_rate=0.2, max_vocab_size=10000, epochs=20, batch_size=128)",17.7887120247
r8-all-terms.txt,MLP 3x512,0.969170646982,"MLP(layers=3, units=512, dropout_rate=0.2, max_vocab_size=10000, epochs=20, batch_size=128)",17.2749519348
r8-all-terms.txt,MNB tfidf,0.811550151976,"MultinomialNB(tfidf=True, ngram_n=1)",0.41375207901
r8-all-terms.txt,MNB tfidf,0.818497611811,"MultinomialNB(tfidf=True, ngram_n=1)",0.417703866959
r8-all-terms.txt,MNB tfidf,0.798523664785,"MultinomialNB(tfidf=True, ngram_n=1)",0.414481878281
r8-all-terms.txt,MNB tfidf,0.801128962223,"MultinomialNB(tfidf=True, ngram_n=1)",0.408824920654
r8-all-terms.txt,MNB tfidf,0.80590534086,"MultinomialNB(tfidf=True, ngram_n=1)",0.415740013123
r8-all-terms.txt,MNB tfidf,0.817194963092,"MultinomialNB(tfidf=True, ngram_n=1)",0.409847974777
r8-all-terms.txt,MNB tfidf,0.827181936604,"MultinomialNB(tfidf=True, ngram_n=1)",0.41387796402
r8-all-terms.txt,MNB tfidf,0.80547112462,"MultinomialNB(tfidf=True, ngram_n=1)",0.410584926605
r8-all-terms.txt,MNB tfidf,0.817194963092,"MultinomialNB(tfidf=True, ngram_n=1)",0.414771080017
r8-all-terms.txt,MNB tfidf,0.808076422058,"MultinomialNB(tfidf=True, ngram_n=1)",0.411597967148
r8-all-terms.txt,MNB tfidf 2-gr,0.807642205818,"MultinomialNB(tfidf=True, ngram_n=2)",2.522356987
r8-all-terms.txt,MNB tfidf 2-gr,0.811550151976,"MultinomialNB(tfidf=True, ngram_n=2)",2.48335790634
r8-all-terms.txt,MNB tfidf 2-gr,0.796786799826,"MultinomialNB(tfidf=True, ngram_n=2)",2.50020289421
r8-all-terms.txt,MNB tfidf 2-gr,0.795049934868,"MultinomialNB(tfidf=True, ngram_n=2)",2.50184583664
r8-all-terms.txt,MNB tfidf 2-gr,0.801997394703,"MultinomialNB(tfidf=True, ngram_n=2)",2.48430109024
r8-all-terms.txt,MNB tfidf 2-gr,0.808076422058,"MultinomialNB(tfidf=True, ngram_n=2)",2.47811198235
r8-all-terms.txt,MNB tfidf 2-gr,0.825879287885,"MultinomialNB(tfidf=True, ngram_n=2)",2.53661489487
r8-all-terms.txt,MNB tfidf 2-gr,0.801997394703,"MultinomialNB(tfidf=True, ngram_n=2)",2.48267793655
r8-all-terms.txt,MNB tfidf 2-gr,0.812418584455,"MultinomialNB(tfidf=True, ngram_n=2)",2.52439403534
r8-all-terms.txt,MNB tfidf 2-gr,0.806773773339,"MultinomialNB(tfidf=True, ngram_n=2)",2.4651658535
r8-all-terms.txt,MNB tfidf 2-gr,0.808510638298,"MultinomialNB(tfidf=True, ngram_n=3)",5.66736388206
r8-all-terms.txt,MNB tfidf 2-gr,0.813287016934,"MultinomialNB(tfidf=True, ngram_n=3)",5.62812614441
r8-all-terms.txt,MNB tfidf 2-gr,0.795484151107,"MultinomialNB(tfidf=True, ngram_n=3)",5.67790699005
r8-all-terms.txt,MNB tfidf 2-gr,0.795484151107,"MultinomialNB(tfidf=True, ngram_n=3)",5.65760707855
r8-all-terms.txt,MNB tfidf 2-gr,0.802431610942,"MultinomialNB(tfidf=True, ngram_n=3)",5.67128300667
r8-all-terms.txt,MNB tfidf 2-gr,0.812418584455,"MultinomialNB(tfidf=True, ngram_n=3)",5.63849806786
r8-all-terms.txt,MNB tfidf 2-gr,0.827616152844,"MultinomialNB(tfidf=True, ngram_n=3)",5.72512698174
r8-all-terms.txt,MNB tfidf 2-gr,0.803734259661,"MultinomialNB(tfidf=True, ngram_n=3)",5.59247899055
r8-all-terms.txt,MNB tfidf 2-gr,0.816326530612,"MultinomialNB(tfidf=True, ngram_n=3)",5.63444185257
r8-all-terms.txt,MNB tfidf 2-gr,0.808076422058,"MultinomialNB(tfidf=True, ngram_n=3)",5.65154790878
r8-all-terms.txt,BNB tfidf,0.781589231437,"BernoulliNB(tfidf=True, ngram_n=1)",0.439691066742
r8-all-terms.txt,BNB tfidf,0.778983933999,"BernoulliNB(tfidf=True, ngram_n=1)",0.428625106812
r8-all-terms.txt,BNB tfidf,0.770299609205,"BernoulliNB(tfidf=True, ngram_n=1)",0.432445049286
r8-all-terms.txt,BNB tfidf,0.768562744247,"BernoulliNB(tfidf=True, ngram_n=1)",0.428588867188
r8-all-terms.txt,BNB tfidf,0.768996960486,"BernoulliNB(tfidf=True, ngram_n=1)",0.431041002274
r8-all-terms.txt,BNB tfidf,0.760746851932,"BernoulliNB(tfidf=True, ngram_n=1)",0.428550958633
r8-all-terms.txt,BNB tfidf,0.785062961355,"BernoulliNB(tfidf=True, ngram_n=1)",0.42865896225
r8-all-terms.txt,BNB tfidf,0.780286582718,"BernoulliNB(tfidf=True, ngram_n=1)",0.430158138275
r8-all-terms.txt,BNB tfidf,0.775944420321,"BernoulliNB(tfidf=True, ngram_n=1)",0.425778865814
r8-all-terms.txt,BNB tfidf,0.772036474164,"BernoulliNB(tfidf=True, ngram_n=1)",0.432101011276
r8-all-terms.txt,MNB,0.934867564047,"MultinomialNB(tfidf=False, ngram_n=1)",0.410505056381
r8-all-terms.txt,MNB,0.926183239253,"MultinomialNB(tfidf=False, ngram_n=1)",0.407494068146
r8-all-terms.txt,MNB,0.929656969171,"MultinomialNB(tfidf=False, ngram_n=1)",0.406028985977
r8-all-terms.txt,MNB,0.935301780287,"MultinomialNB(tfidf=False, ngram_n=1)",0.405892848969
r8-all-terms.txt,MNB,0.927051671733,"MultinomialNB(tfidf=False, ngram_n=1)",0.404706001282
r8-all-terms.txt,MNB,0.929222752931,"MultinomialNB(tfidf=False, ngram_n=1)",0.407004833221
r8-all-terms.txt,MNB,0.941815023882,"MultinomialNB(tfidf=False, ngram_n=1)",0.407660007477
r8-all-terms.txt,MNB,0.937472861485,"MultinomialNB(tfidf=False, ngram_n=1)",0.403737068176
r8-all-terms.txt,MNB,0.935735996526,"MultinomialNB(tfidf=False, ngram_n=1)",0.414534091949
r8-all-terms.txt,MNB,0.931828050369,"MultinomialNB(tfidf=False, ngram_n=1)",0.406122207642
r8-all-terms.txt,MNB bi,0.923143725575,"MultinomialNB(tfidf=False, ngram_n=2)",3.05469799042
r8-all-terms.txt,MNB bi,0.91663048198,"MultinomialNB(tfidf=False, ngram_n=2)",2.43353700638
r8-all-terms.txt,MNB bi,0.915762049501,"MultinomialNB(tfidf=False, ngram_n=2)",2.464635849
r8-all-terms.txt,MNB bi,0.914459400782,"MultinomialNB(tfidf=False, ngram_n=2)",2.45059704781
r8-all-terms.txt,MNB bi,0.912288319583,"MultinomialNB(tfidf=False, ngram_n=2)",2.45193505287
r8-all-terms.txt,MNB bi,0.906643508467,"MultinomialNB(tfidf=False, ngram_n=2)",2.43664693832
r8-all-terms.txt,MNB bi,0.925749023013,"MultinomialNB(tfidf=False, ngram_n=2)",2.50283002853
r8-all-terms.txt,MNB bi,0.924012158055,"MultinomialNB(tfidf=False, ngram_n=2)",2.46101808548
r8-all-terms.txt,MNB bi,0.926617455493,"MultinomialNB(tfidf=False, ngram_n=2)",2.45744800568
r8-all-terms.txt,MNB bi,0.926183239253,"MultinomialNB(tfidf=False, ngram_n=2)",2.44100308418
r8-all-terms.txt,BNB,0.781589231437,"BernoulliNB(tfidf=False, ngram_n=1)",0.43385386467
r8-all-terms.txt,BNB,0.778983933999,"BernoulliNB(tfidf=False, ngram_n=1)",0.422407865524
r8-all-terms.txt,BNB,0.770299609205,"BernoulliNB(tfidf=False, ngram_n=1)",0.419919013977
r8-all-terms.txt,BNB,0.768562744247,"BernoulliNB(tfidf=False, ngram_n=1)",0.423454999924
r8-all-terms.txt,BNB,0.768996960486,"BernoulliNB(tfidf=False, ngram_n=1)",0.416557073593
r8-all-terms.txt,BNB,0.760746851932,"BernoulliNB(tfidf=False, ngram_n=1)",0.423042058945
r8-all-terms.txt,BNB,0.785062961355,"BernoulliNB(tfidf=False, ngram_n=1)",0.42737698555
r8-all-terms.txt,BNB,0.780286582718,"BernoulliNB(tfidf=False, ngram_n=1)",0.420367956161
r8-all-terms.txt,BNB,0.775944420321,"BernoulliNB(tfidf=False, ngram_n=1)",0.419868946075
r8-all-terms.txt,BNB,0.772036474164,"BernoulliNB(tfidf=False, ngram_n=1)",0.42196393013
r8-all-terms.txt,SVM tfidf,0.969604863222,"SVC(tfidf=True, ngram_n=1, kernel=linear)",12.0659871101
r8-all-terms.txt,SVM tfidf,0.965696917065,"SVC(tfidf=True, ngram_n=1, kernel=linear)",11.9410989285
r8-all-terms.txt,SVM tfidf,0.968302214503,"SVC(tfidf=True, ngram_n=1, kernel=linear)",11.8755290508
r8-all-terms.txt,SVM tfidf,0.969170646982,"SVC(tfidf=True, ngram_n=1, kernel=linear)",12.0009219646
r8-all-terms.txt,SVM tfidf,0.968302214503,"SVC(tfidf=True, ngram_n=1, kernel=linear)",11.8387200832
r8-all-terms.txt,SVM tfidf,0.963525835866,"SVC(tfidf=True, ngram_n=1, kernel=linear)",11.8720369339
r8-all-terms.txt,SVM tfidf,0.97177594442,"SVC(tfidf=True, ngram_n=1, kernel=linear)",12.0665249825
r8-all-terms.txt,SVM tfidf,0.966131133304,"SVC(tfidf=True, ngram_n=1, kernel=linear)",12.1207649708
r8-all-terms.txt,SVM tfidf,0.974381241858,"SVC(tfidf=True, ngram_n=1, kernel=linear)",12.0463631153
r8-all-terms.txt,SVM tfidf,0.974815458098,"SVC(tfidf=True, ngram_n=1, kernel=linear)",11.9350690842
r8-all-terms.txt,SVM tfidf 2-gr,0.964828484585,"SVC(tfidf=True, ngram_n=2, kernel=linear)",32.4370222092
r8-all-terms.txt,SVM tfidf 2-gr,0.963525835866,"SVC(tfidf=True, ngram_n=2, kernel=linear)",32.2404360771
r8-all-terms.txt,SVM tfidf 2-gr,0.966999565784,"SVC(tfidf=True, ngram_n=2, kernel=linear)",32.1864840984
r8-all-terms.txt,SVM tfidf 2-gr,0.967867998263,"SVC(tfidf=True, ngram_n=2, kernel=linear)",32.2462480068
r8-all-terms.txt,SVM tfidf 2-gr,0.963960052106,"SVC(tfidf=True, ngram_n=2, kernel=linear)",31.6567120552
r8-all-terms.txt,SVM tfidf 2-gr,0.957446808511,"SVC(tfidf=True, ngram_n=2, kernel=linear)",31.7519450188
r8-all-terms.txt,SVM tfidf 2-gr,0.968736430743,"SVC(tfidf=True, ngram_n=2, kernel=linear)",32.4128000736
r8-all-terms.txt,SVM tfidf 2-gr,0.965262700825,"SVC(tfidf=True, ngram_n=2, kernel=linear)",32.5313639641
r8-all-terms.txt,SVM tfidf 2-gr,0.970039079462,"SVC(tfidf=True, ngram_n=2, kernel=linear)",31.9727330208
r8-all-terms.txt,SVM tfidf 2-gr,0.9726443769,"SVC(tfidf=True, ngram_n=2, kernel=linear)",32.5255570412
r8-all-terms.txt,SVM,0.953104646114,"SVC(tfidf=False, ngram_n=1, kernel=linear)",4.84404802322
r8-all-terms.txt,SVM,0.955275727312,"SVC(tfidf=False, ngram_n=1, kernel=linear)",5.03161501884
r8-all-terms.txt,SVM,0.954407294833,"SVC(tfidf=False, ngram_n=1, kernel=linear)",4.92908191681
r8-all-terms.txt,SVM,0.951801997395,"SVC(tfidf=False, ngram_n=1, kernel=linear)",4.8894739151
r8-all-terms.txt,SVM,0.953538862353,"SVC(tfidf=False, ngram_n=1, kernel=linear)",5.02264308929
r8-all-terms.txt,SVM,0.942249240122,"SVC(tfidf=False, ngram_n=1, kernel=linear)",4.91701507568
r8-all-terms.txt,SVM,0.960486322188,"SVC(tfidf=False, ngram_n=1, kernel=linear)",4.95135498047
r8-all-terms.txt,SVM,0.955275727312,"SVC(tfidf=False, ngram_n=1, kernel=linear)",4.73522090912
r8-all-terms.txt,SVM,0.960486322188,"SVC(tfidf=False, ngram_n=1, kernel=linear)",5.12881112099
r8-all-terms.txt,SVM,0.959183673469,"SVC(tfidf=False, ngram_n=1, kernel=linear)",4.92975497246
r8-all-terms.txt,SVM 2-gr,0.955275727312,"SVC(tfidf=False, ngram_n=2, kernel=linear)",12.3669018745
r8-all-terms.txt,SVM 2-gr,0.953104646114,"SVC(tfidf=False, ngram_n=2, kernel=linear)",12.6086039543
r8-all-terms.txt,SVM 2-gr,0.952236213634,"SVC(tfidf=False, ngram_n=2, kernel=linear)",12.2959079742
r8-all-terms.txt,SVM 2-gr,0.950065132436,"SVC(tfidf=False, ngram_n=2, kernel=linear)",12.4152328968
r8-all-terms.txt,SVM 2-gr,0.947459834998,"SVC(tfidf=False, ngram_n=2, kernel=linear)",12.528842926
r8-all-terms.txt,SVM 2-gr,0.943117672601,"SVC(tfidf=False, ngram_n=2, kernel=linear)",12.3136341572
r8-all-terms.txt,SVM 2-gr,0.95874945723,"SVC(tfidf=False, ngram_n=2, kernel=linear)",12.4742398262
r8-all-terms.txt,SVM 2-gr,0.956144159792,"SVC(tfidf=False, ngram_n=2, kernel=linear)",11.9619989395
r8-all-terms.txt,SVM 2-gr,0.957012592271,"SVC(tfidf=False, ngram_n=2, kernel=linear)",12.7488639355
r8-all-terms.txt,SVM 2-gr,0.95874945723,"SVC(tfidf=False, ngram_n=2, kernel=linear)",12.5146589279
r52-all-terms.txt,CNN 37d,0.840659340659,"FCholletCNN(dropout_rate=0.5, optimizer=adam, embedding_dim=37, batch_size=32, epochs=30, max_seq_len=1000, embeddings_path=None, units=400)",644.367296934
r52-all-terms.txt,CNN 37d,0.843956043956,"FCholletCNN(dropout_rate=0.5, optimizer=adam, embedding_dim=37, batch_size=32, epochs=30, max_seq_len=1000, embeddings_path=None, units=400)",647.31178689
r52-all-terms.txt,CNN 37d,0.857509157509,"FCholletCNN(dropout_rate=0.5, optimizer=adam, embedding_dim=37, batch_size=32, epochs=30, max_seq_len=1000, embeddings_path=None, units=400)",642.523682117
r52-all-terms.txt,CNN 37d,0.846153846154,"FCholletCNN(dropout_rate=0.5, optimizer=adam, embedding_dim=37, batch_size=32, epochs=30, max_seq_len=1000, embeddings_path=None, units=400)",643.281572104
r52-all-terms.txt,CNN 37d,0.865201465201,"FCholletCNN(dropout_rate=0.5, optimizer=adam, embedding_dim=37, batch_size=32, epochs=30, max_seq_len=1000, embeddings_path=None, units=400)",643.915740967
r52-all-terms.txt,CNN 37d,0.862271062271,"FCholletCNN(dropout_rate=0.5, optimizer=adam, embedding_dim=37, batch_size=32, epochs=30, max_seq_len=1000, embeddings_path=None, units=400)",642.561169147
r52-all-terms.txt,CNN 37d,0.853846153846,"FCholletCNN(dropout_rate=0.5, optimizer=adam, embedding_dim=37, batch_size=32, epochs=30, max_seq_len=1000, embeddings_path=None, units=400)",642.432590961
r52-all-terms.txt,CNN 37d,0.855677655678,"FCholletCNN(dropout_rate=0.5, optimizer=adam, embedding_dim=37, batch_size=32, epochs=30, max_seq_len=1000, embeddings_path=None, units=400)",641.811643124
r52-all-terms.txt,CNN 37d,0.85347985348,"FCholletCNN(dropout_rate=0.5, optimizer=adam, embedding_dim=37, batch_size=32, epochs=30, max_seq_len=1000, embeddings_path=None, units=400)",649.406016827
r52-all-terms.txt,CNN 37d,0.862637362637,"FCholletCNN(dropout_rate=0.5, optimizer=adam, embedding_dim=37, batch_size=32, epochs=30, max_seq_len=1000, embeddings_path=None, units=400)",639.806812048
r52-all-terms.txt,CNN glove,0.917582417582,"FCholletCNN(dropout_rate=0.5, optimizer=adam, embedding_dim=100, batch_size=32, epochs=20, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",462.625083923
r52-all-terms.txt,CNN glove,0.915018315018,"FCholletCNN(dropout_rate=0.5, optimizer=adam, embedding_dim=100, batch_size=32, epochs=20, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",458.001621962
r52-all-terms.txt,CNN glove,0.931868131868,"FCholletCNN(dropout_rate=0.5, optimizer=adam, embedding_dim=100, batch_size=32, epochs=20, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",459.572473049
r52-all-terms.txt,CNN glove,0.924542124542,"FCholletCNN(dropout_rate=0.5, optimizer=adam, embedding_dim=100, batch_size=32, epochs=20, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",459.38271594
r52-all-terms.txt,CNN glove,0.937362637363,"FCholletCNN(dropout_rate=0.5, optimizer=adam, embedding_dim=100, batch_size=32, epochs=20, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",459.458877087
r52-all-terms.txt,CNN glove,0.913919413919,"FCholletCNN(dropout_rate=0.5, optimizer=adam, embedding_dim=100, batch_size=32, epochs=20, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",459.538074017
r52-all-terms.txt,CNN glove,0.912454212454,"FCholletCNN(dropout_rate=0.5, optimizer=adam, embedding_dim=100, batch_size=32, epochs=20, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",457.934983969
r52-all-terms.txt,CNN glove,0.920879120879,"FCholletCNN(dropout_rate=0.5, optimizer=adam, embedding_dim=100, batch_size=32, epochs=20, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",461.109838963
r52-all-terms.txt,CNN glove,0.926373626374,"FCholletCNN(dropout_rate=0.5, optimizer=adam, embedding_dim=100, batch_size=32, epochs=20, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",456.229293108
r52-all-terms.txt,CNN glove,0.904761904762,"FCholletCNN(dropout_rate=0.5, optimizer=adam, embedding_dim=100, batch_size=32, epochs=20, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",457.703414202
r52-all-terms.txt,MLP 1x360,0.932967032967,"MLP(layers=1, units=360, dropout_rate=0.87, max_vocab_size=22000, epochs=12, batch_size=128)",21.5750529766
r52-all-terms.txt,MLP 1x360,0.934065934066,"MLP(layers=1, units=360, dropout_rate=0.87, max_vocab_size=22000, epochs=12, batch_size=128)",17.4307610989
r52-all-terms.txt,MLP 1x360,0.938461538462,"MLP(layers=1, units=360, dropout_rate=0.87, max_vocab_size=22000, epochs=12, batch_size=128)",16.1503221989
r52-all-terms.txt,MLP 1x360,0.932967032967,"MLP(layers=1, units=360, dropout_rate=0.87, max_vocab_size=22000, epochs=12, batch_size=128)",16.1787540913
